Id,label
766723500,4
739273600,4
156621880,4
156551275,1
793980800,2
169711900,4
199868467,4
589572100,3
224843800,2
211596630,1
478375699,2
157732733,4
191626000,2
733521000,3
346084800,2
156114825,4
157696781,4
284939400,2
651357200,1
145652100,2
586902000,3
808543700,2
502550200,2
791749200,4
485261000,3
245902800,2
217787088,2
166044200,4
179526624,2
143152217,3
285008148,1
258798451,2
824998500,2
273215200,2
491391200,3
279829100,2
248786921,1
199855258,1
156583865,1
172328996,4
853154999,2
595410800,1
149455044,4
409983499,2
209417803,2
325610200,2
199873754,1
331449162,2
158129761,4
201005896,4
534513500,4
158150126,1
165114956,1
704249700,3
219767800,4
156585313,3
227643039,4
887083200,4
836052600,4
195319427,1
163058353,3
433745800,3
319618200,2
158154506,4
179230661,2
285516579,4
136825754,2
163058266,1
157776065,1
158132644,1
211596686,2
209423387,1
833297700,4
491761900,3
188226200,4
313833600,4
402475500,3
900251400,2
143750634,2
351071800,4
155342273,4
179230707,4
238133693,2
157777729,4
199854995,1
156611349,4
855625100,2
199841844,2
217787885,3
165103100,4
158277235,1
257611400,2
157785401,3
158040318,3
904873199,2
759562800,2
154807637,1
523162699,4
632364300,1
316583636,3
132246917,2
154748280,2
774091900,4
179604907,1
374128600,1
428577199,1
156532425,4
285239597,1
377948800,3
907091100,2
158038444,4
698398700,3
847097300,4
139185984,4
183542100,4
261562599,2
199853828,4
215836136,1
581684700,3
211591126,4
199878288,2
199850019,4
194876241,2
162113600,4
157627515,1
238152612,1
319511400,2
862423500,4
158157601,1
495580200,3
156550034,4
165115027,1
753265300,4
157951430,2
211588631,1
270975100,4
177847337,3
145324628,3
271490700,2
227288500,4
192306131,4
264831900,2
179230681,1
249705800,2
316583831,1
702381700,4
200996499,2
211604136,4
158826238,3
237778300,2
329817000,4
807246200,2
141352767,2
898602000,4
325081400,2
244214727,2
158287793,4
158134238,3
285007756,1
211602540,4
304022600,4
182961700,2
158115535,1
521261500,3
242385689,2
199577200,2
257093300,2
155350478,4
228311900,2
411754000,3
543412300,2
158150201,3
380036100,3
179431479,1
179229704,2
165112479,1
211581542,1
241568400,3
285516573,1
163693755,4
158150848,4
503031900,3
156710022,4
179597856,1
154767467,4
211588317,4
163058226,1
820572800,3
258813206,1
699478000,2
241360800,2
134521122,3
157696514,4
414862600,3
158117111,3
351749100,3
179603891,4
158140309,3
156608467,1
157601459,3
331446560,4
179575770,1
156552696,1
179597862,1
294136093,1
791226500,3
319430200,2
154749491,1
165106687,4
249487200,2
165110702,1
385860400,3
157793133,1
155342309,1
199876788,1
288112000,2
847479900,4
341841500,2
179225823,4
656317300,4
495144499,3
439071200,3
268475700,2
675679600,3
154749552,1
157738811,3
157739140,4
258969470,1
242385700,2
158826269,4
154767905,4
199855706,1
199853938,4
158106292,4
